Product,Strength and Form
Ketilept  Retard,150 mg prolonged - release  tablets
Ketilept  Retard,200 mg prolonged - release  tablets
Ketilept  Retard,300 mg prolonged - release  tablets
Ketilept  Retard,400 mg prolonged - release  tablets
Ketipinor,100 mg film - coated  tablets
Ketipinor,200 mg film - coated  tablets
Ketipinor,25 mg film - coated  tablets
Ketipinor,300 mg film - coated  tablets
Ketoderm,20 mg/g shampoo
Ketoflex,"2,5% gel"
KetoFLEX,50 mg/ml solution for  injection
Ketonal,100 mg/2 ml solution for  injection
Ketonal,25 mg granules for oral  solution in sachets
Ketonal,50 mg granules for oral  solution in sachets
Ketonal,"50 mg capsules, hard"
Ketoprofen  - Tchaikapharma,100 mg/2 ml solution for  injection
Ketoprofen  VP,"2,5 % gel"
KETOPROFEN  VP,50 mg/ml solution for  injection
Ketorolac  Vision,"5 mg/ml eye drops,  solution"
Ketospray,"10 % cutaneous spray,  solution"
Ketosteril  Ketoacid,fim - coated tablets
Ketotifen  Actavis,"0,2 mg/m 1 syrup"
Ketotifen  Sopharma,"0,2 mg/ml syrup"
Ketotifen  Sopharma,1 mg tablets
Ketotifen  Sopharma,100 mg/2 ml solution for  injection
Ketozal,shamp. 2% - 60 ml; 80 ml
Ketozyn,25 mg granules for oral  solution in sachet
Ketum,"2,5 % gel"
Kidrolase,10 000 I.U. powder for  solution for injection
Kimoks,400 mg film - coated  tablets
Kindinorm,pillules
Kivizidiale,40 micrograms/ml + 5  mg/ml eye drops solution
Klabax,500 mg film - coated  tablets
Klacar,250 mg film - coated  tablets
Klacar,500 mg powder for  solution for injection for infusion
Klacar,500 mg film - coated  tablets
Klacar  XL,500 mg prolonged -  release tablets
Klacid,500 mg powder for  concentrate for solution for infusion
Klacid,125 mg/5 ml granules for  oral suspension
Klacid,250 mg/5 ml granules for  oral suspension
Klacid,250 mg film - coated  tablets
Klacid  SR,250 mg film - coated tablets
Klacid  SR,500 mg modified - release  tablets
Klacid  SR,500 mg powder for  concetrate for solution for infusion
Klerimed,250 mg film - coated  tablets
Klerimed,500 mg film - coated  tablets
Klimadynon,film - coated tablets
Klimakt - Heel,tablets
Klimodien,2 mg/2 mg coated tablets
Klimonorm,"2 mg / 0,15 mg coated  tablets"
Kliogest,tabl. film - 1 x 28; 3 x  28
Klion-D,100 mg/100 mg vaginal tablets
Koate  DVI 250 IU,powder and solvent for  solution for injection
Koate  DVI 500 IU,powder and solvent for  solution for injection
Konakion  MM,10 mg/ml solution for  injection
Kopaq,300 mg I/ml solution for  injection
Kopaq,350 mg I/ml solution for  injection
Korincare,20 mg prolonged -  release tablets
Kostarox,30 mg film - coated  tablets
Kostarox,60 mg film - coated  tablets
Kostarox,90 mg film - coated  tablets
Kostarox,120 mg film - coated  tablets
Koysta,75 microgramas coated  tabl.
Kreon,"10 000 Ph. Eur.  U gastro - resistant capsules, hard"
Kreon,"25 000 Pli.  Eur. U gastro - resistant capsules, hard"
Kreon,"40 000 Ph. Eur.  U. gastro - resistant capsules, hard"
Kreon,"20 000 gastro -  resistant capsules, hard"
Kreon,"35 000 gastro - resistant  capsules, hard"
Ksivozan,5 mg film - coated  tablets
Ksivozan,"5 mg/ml oral drops,  solution"
Kvelux,200 mg film - coated tablets
Kvelux,100 mg film - coated  tablets
Kvelux  XR,300 mg prolonged -  release tablets
Kvelux  XR,150 mg prolonged -  release tablets
Kvelux  XR,200 mg prolonged  -release tablets
Kvelux  XR,50 mg prolonged -  release tablets
Kvelux XR,400 mg prolonged -  release tablets
Kventiax,300 mg film - coated  tablets
Kventiax,100 mg film - coated  tablets
Kventiax,150 mg film - coated  tablets
Kventiax,200 mg film - coated  tablets
Kventiax,25 mg film - coated  tablets
Kventiax SR,50 mg prolonged -  release tablets
Kventiax SR,150 mg prolonged -  release tablets
Kventiax SR,200 mg prolonged -  release tablets
Kventiax SR,300 mg prolonged -  release tablets
Kventiax SR,400 mg prolonged -  release tablets
Kyaresta,1 mg film - coated  tablets
Kytril,2 mg film - coated  tablets
Kytril,1 mg/1 ml solution for  injection
L  - Cetiricon,5 mg film - coated  tablets
Lacipil,4 mg film - coated  tablets
LactuGel,650 mg/ml oral gel
Lactulak  Adipharm,66 g/100 ml oral  solution
Lactulose  - MIP,65 g/100 ml syrup
Lactus,"66,7 g/100 ml syrup"
Ladiva,capsules
Laif  600,tabl. film 600 mg x 20;  x 60; x 100
Laif 600,612 mg film - coated  tablets
Laif 900,900 mg film - coated  tablets
Lamal,100 mg tablets
Lamal,200 mg tablets
Lamal,25 mg tablets
Lamal,50 mg tablets
Lamictal,25 mg tablets
Lamictal,50 mg tablets
Lamictal,100 mg tablets
Lamictal,5 mg  chewable/dispersible tablets
Lamictal,2 mg  chewable/dispersible tablets
Lamisil,tabl. 125 mg x 14
Lamisil,250 mg tablets
Lamisil,1% cream
Lamisil,"1% cutaneous spray,  solution"
Lamisil  Dermgel,1% gel
Lamivudine/Zidovudine  Accord,150 mg/300 mg film - coated  tablets
Lamotren,tabl. 25 mg x 30
Lamotren,tabl. 50 mg x 30
Lamotren,tabl. 100 mg x 30
Lamotrix,200 mg tablets
Lamotrix,100 mg tablets
Lamotrix,25 mg tablets
Lamotrix,50 mg tablets
Lanitop,"0,1  mg tablets"
Lanivasin,5 mg film - coated  tablets
Lansoprazole  Ecopharm,"15 mg gastro - resistant  capsules, hard"
Lansoprazole  Ecopharm,"30 mg gastro - resistant  capsules, hard"
Lansoprol,"30 mg gastro - resistant capsules, hard"
Lansoprol,"15 mg gastro - resistant  capsules, hard"
Lanvexin,"75 mg prolonged -  release capsules, hard"
Lanvexin,"150 mg prolonged -  release capsules, hard"
LanzAcid,"30 mg gastro - resistant  capsules, hard"
Lanzul,"30 mg gastro - resistant  capsules, hard"
Lapozan,10 mg film - coated  tablets
Lapozan,10 mg orodispersible  tablets
Lapozan,15 mg orodispersible  tablets
Lapozan,5 mg film - coated  tablets
Lapozan,5 mg orodispersible  tablets
LAPRILEN,10 mg tablets
LAPRILEN,5 mg tablets
Laprilen  10,tabl. 10 mg x 30
Laprilen  5,tabl. 5 mg x 30
Laprol,"0,05 mg/5,0 mg/ml eye  drops, solution"
Laroxin  SR,"37,5 prolonged - release  capsules, hard"
Laroxin  SR,"75 mg prolonged -  release capsules,hard"
Laroxin  SR,"150 mg prolonged -  release capsules, hard"
Lartokaz,"150 mg/12,5 mg tablets"
Lartokaz,"300 mg/12,5 mg tablets"
Lartokaz,300 mg/25 mg tablets
Larus,10 mg film - coated  tablets
Larus,20 mg film - coated  tablets
Larus,40 mg film - coated  tablets
Latacom,"50 micrograms / ml eye  drops, solution"
Latacom T,"50 micrograms/ml + 5 mg/  ml eye drops, solution"
Latalux,"50 micrograms/ml eye  drops, solution"
Lataneau  Plus,"50 microg + 5mg/ml eye  drops, solution"
Latanomed,"0.005% eye drops,  solution"
Latanoprost Actavis,"50 micrograms/ml eye  drops, solution"
Latanoprost  Cipla,"50 micrograms/ml eye  drops, solution"
Latanoprost  Teva,"50 micrograms/ml eye  drops, solution"
Latasopt,"0,005 % eye drops,  solution"
Latib,400 mg hard capsules
Latib,100 mg hard capsules
Laticort,"0,1 % cream"
Laticort,"0,1  % ointment"
Latrigil,"25 mg, dispersible  tablets"
Latrigil,"50 mg, dispersible  tablets"
Latrigil,"100 mg, dispersible  tablets"
Laxx,"7,5 mg/ml oral drops,  solution"
Lazapix,10 mg film - coated  tablets
Lazapix,5 mg film - coated  tablets
Lecalpin,10 mg film - coated  tablets
Lecalpin,20 mg film - coated  tablets
Lecalpin  Combo,20 mg/10 mg film -  coated tablets
Lecalpin  Combo,10 mg/10 mg film -  coated tablets
Lecrolyn  Sine,"40 mg/ml eye drops,  solution"
Ledufan,"2,5 mg/ml powder for  concentrate for solution for infusion"
Leflon,20 mg film - coated  tablets
Leflox,500 mg film - coated  tablets
Leftiram,250 mg film - coated  tablets
Leftiram,500 mg film - coated  tablets
Leftiram,1000 mg film - coated  tablets
Legalon,"140 mg capsules, hard"
Legofer,800 mg/15 ml oral  solution
Lekadol  Complex,200 mg film - coated  tablets
Lekadol  plus,"1 000 mg/12,2 mg powder  for oral solution"
Lekadol  plus,"500 mg/12,2 mg powder  for oral solution"
Lekoklar,250 mg film - coated  tablets
Lekoklar,500 mg film - coated tablets
Lekoklar,125 mg/5 ml granules for  oral suspension
Lekoklar,250 mg/5 ml granules for  oral suspension
Lekoklar  XL,500 mg modified - release  tablets
Lemilvo,1 mg/ml oral solution
Lemilvo,15 mg tablets
Lemilvo,15 mg orodispersible  tablets
Lenalidomid Alvogen,"2,5 mg hard capsules"
Lenalidomid Alvogen,5 mg hard capsules
Lenalidomid Alvogen,"7,5 mg hard capsules"
Lenalidomid Alvogen,10 mg hard capsules
Lenalidomid Alvogen,15 mg hard capsules
Lenalidomid Alvogen,20 mg hard сapsules
Lenalidomid Alvogen,25 mg hard capsules
Lenalidomid  Labormed,10 mg hard capsules
Lenalidomid  Labormed,15 mg hard capsules
Lenalidomid  Labormed,"2,5 mg hard capsules"
Lenalidomid  Labormed,20 mg hard capsules
Lenalidomid  Labormed,25 mg hard capsules
Lenalidomid  Labormed,5 mg hard capsules
Lenalidomid  Labormed,"7,5 mg hard capsules"
Lenalidomid  Pharmascience,5 mg hard capsules
Lenalidomid  Pharmascience,10 mg hard capsules
Lenalidomid  Pharmascience,15 mg hard capsules
Lenalidomid  Pharmascience,25 mg hard capsules
Lenalidomide  G.L.,5 mg hard capsules
Lenalidomide  G.L.,10 mg hard capsules
Lenalidomide  G.L.,15 mg hard capsules
Lenalidomide  G.L.,25 mg hard capsules
Lenalidomide Grindeks,"2,5 mg hard capsules"
Lenalidomide Grindeks,5 mg hard capsules
Lenalidomide Grindeks,"7,5 mg hard capsules"
Lenalidomide Grindeks,10 mg hard capsules
Lenalidomide Grindeks,15 mg hard capsules
Lenalidomide Grindeks,20 mg hard capsules
Lenalidomide Grindeks,25 mg hard capsules
Lenalidomide  Sandoz,5 mg hard capsules
Lenalidomide  Sandoz,10 mg hard capsules
Lenalidomide  Sandoz,25 mg hard capsules
Lenalidomide  Zentiva,5 mg hard capsules
Lenalidomide  Zentiva,10 mg hard capsules
Lenalidomide  Zentiva,15 mg hard capsules
Lenalidomide  Zentiva,25 mg hard capsules
Lendenuz,50 mg film - coated  tablets
Lendenuz,100 mg film - coated  tablets
Lendenuz,150 mg film - coated  tablets
Lendenuz,200 mg film - coated tablets
Lenuxin,10 mg film-coated  tablets
Lenzetto,"1,53 mg/spray,  transdermal spray, solution"
Leponex,100 mg tablets
Leponex,25 mg tablets
Lepsitam,1000 mg film - coated  tablets
Lepsitam,250 mg film - coated  tablets
Lepsitam,500 mg film - coated  tablets
Lepsitam,750 mg film - coated  tablets
Leptodon,2 mg mg film - coated  tablets
Leptodon,1 mg film - coated  tablets
Leptodon,4 mg film - coated  tablets
Leptodon,3 mg film - coated  tablets
Lercanicon,10 mg film - coated  tablets
Lercanicon,20 mg film - coated  tablets
Lercanidipine Ecopharm,10 mg film - coated tablets
Lercanidipine Ecopharm,20 mg film - coated tablets
Lercapril,10 mg/10 mg film -  coated tablets
Lercapril,20 mg/20 mg film -  coated tablets
Lercapril,20 mg/10 mg film -  coated tablets
Lescol,"40 mg capsules, hard"
Lescol  XL,80 mg prolonged - release  tablets
Letizen,10 mg film-coated  tablets
Letrocon,"2,5 mg film - coated tablets"
Letrofem,"tabl. film 2,5 mg x 10;  x 14; x 28; x 30; x 100"
Letrofemin,"2,5 mg film - coated  tablets"
Letrogen,"2,5 mg film - coated  tablets"
Letrogratis,"2,5 mg film - coated  tablets"
Letrozol  Nucleus,"2,5 mg film - coated  tablets"
Letrozol Synthon,"2,5 mg film - coated  tablets"
Letrozole  Alvogen,"2,5 mg film - coated  tablets"
Letrozole  Kabi,"2,5 mg film-coated  tablets"
Letrozole  MC Pharma,2.5 mg film - coated  tablets
Letrozole  Neo,2.5 mg film - coated  tablets
Letrozole  Winthrop,"2,5 mg film - coated  tablets"
Leukeran,2 mg film - coated  tablets
Levact,"2,5 mg/ml powder for  concentrate for solution for infusion"
Levalox,250 mg film - coated  tablets
Levalox,500 mg film - coated  tablets
Levalox,250 mg film - coated  tablets
Levalox,500 mg film - coated  tablets
Levalox,5 mg/ml solution for  infusion
Levalox,250 mg film - coated  tablets
Levalox,500 mg film - coated  tablets
Levaxan,80 mg soft capsules
Levebon,500 mg film - coated tablets
Levebon,1000 mg film - coated tablets
Levetiracetam  - Neuraxpharm,100 mg/ml oral sololution
Levetiracetam  - Neuraxpharm,"750 mg film - coat,  tablets"
Levetiracetam  - Neuraxpharm,"250 mg film - coat,  tablets"
Levetiracetam  - Neuraxpharm,"500 mg film - coat,  tablets"
Levetiracetam - Neuraxpharm,1 000 mg film - coated  tablets
Levetiracetam  Cipla,1000 mg film - coated  tablets
Levetiracetam  Cipla,250 mg film - coated  tablets
Levetiracetam  Cipla,500 mg film - coated  tablets
Levetiracetam  Cipla,750 mg film - coated  tablets
Levetiracetam  Pharmaswiss,100 mg/ ml oral solution
Levetiracetam  Pharmaswiss,250 mg film - coated  tablets
Levetiracetam  Pharmaswiss,500 mg film - coated  tablets
Levetiracetam  Pharmaswiss,750 mg film - coated  tablets
Levetiracetam  Pharmaswiss,1 000 mg film - coated  tablets
Levetiracetam Sanovel,250 mg film - coated tablets
Levetiracetam Sanovel,500 mg film - coated  tablets
Levetiracetam Sanovel,1000 mg film - coated  tablets
Levetiracetam  Stada,250 mg film - coated tablets
Levetiracetam  Stada,500 mg film - coated tablets
Levetiracetam  Stada,750 mg film - coated tablets
Levetiracetam  Stada,1000 mg film - coated tablets
Levetiracon,100 mg/ml oral solution
Levide,25 mg tablets
Levide,50 mg tablets
Levide,100 mg tablets
Levo  - Methasan,5 mg/ml concentrate for  oral solution
Levocetirizine  Cipla,5 mg film - coated tablets
Levocetirizine  Dihydrochloride Zentiva,5 mg film - coated  tablets
Levofloxacin  Accord,250 mg film - coated  tablets
Levofloxacin  Accord,500 mg film - coated tablets
Levofloxacin  Adipharm,500 mg film - coated  tablets
Levofloxacin B. Braun,5 mg/ml solution for  infusion
Levofloxacin  Beximco,250 mg film - coated  tablets
Levofloxacin  Beximco,500 mg film - coated  tablets
Levofloxacin Ecopharm,500 mg film - coated  tablets
Levofloxacin  Kabi,5 mg/ml solution for  infusion
Levofloxacin  Mylan,250 mg/50 ml solution  for infusion
Levofloxacin  Mylan,500 mg/100 ml solution  for infusion
Levofloxacin  Pfizer,5 mg/ml solution for  infusion
Levofloxacin  Sanovel,500 mg film - coated  tablets
Levofloxacin  Teva,500 mg film - coated  tablets
Levofloxacin  Teva,5 mg/ml solution for  infusion
Levofloxan,5 mg/ml solution for  infusion
Levofloxan,250 mg film - coated  tablets
Levofloxan,500 mg film - coated  tablets
Levofloxan,"5 mg/ml eye drops,  solution"
Levo-Methasan,5 mg/ml concetrate for  oral solution
Levomil,5 mg film - coated  tablets
Levopraid 25,drops 25 mg/ml
Levor,5 mg/ml solution for  infusion
Levor,500 mg film - coated  tablets
Levosert,20 micrograms/24 hours  intrauterine delivery system
Levothyroxine  Accord,"12,5 micrograms tablets"
Levothyroxine  Accord,25 micrograms tablets
Levothyroxine  Accord,50 micrograms tablets
Levothyroxine  Accord,75 micrograms tablets
Levothyroxine  Accord,88 micrograms tablets
Levothyroxine  Accord,112 micrograms tablets
Levothyroxine  Accord,110 micrograms tablets
Levothyroxine  Accord,125 micrograms tablets
Levothyroxine  Accord,137 micrograms tablets
Levothyroxine  Accord,150 micrograms tablets
Levothyroxine  Accord,175 micrograms tablets
Levothyroxine  Accord,200 micrograms tablets
Levoxa,5 mg/ml solution for  infusion
Levoxa,250 mg film - coated  tablets
Levoxa,5 mg/ml solution for  infusion
Levoxa,500 mg film - coated tablets
Lexotan,3  mg tablets
Lextril,2 mg tablets
Lextril,4 mg tablets
Lextril,8 mg tablets
Liberizin,"1,5 mg tablets"
Libexin,100 mg tablets
Licobondrat,150 mg film - coated  tablets
Lidbree,42 mg/ml intrauterine  gel
Lidiam,4 % cream
Lidocain  - EGIS,"4,6 mg /dose cutaneous  spray, solution"
Lidocain Actavis,5 % ointment
Lidocain  DS,20 mg/ml solution for  injection
Lidocain  DS,10 mg/ml solution for  injection
Lidocain Sopharma,5 mg/ml solution for  injection
Lidocain Sopharma,10 mg/ml solution for  injection
Lidocain Sopharma,20 mg/ml solution for  injection
Lidocain  VP,20 mg/ml solution for  injection
Lidocain  VP,10 mg/ml solution for  injection
Lidocaine - Tchaikapharma,10 mg/ml solution
Lidocaine - Tchaikapharma,20 mg/ml solution for  injection
Lidocaine  Accord,20 mg/ml solution for  injection
Lidocaine  Accord,10 mg/ml solution for  injection
Lidocaine  Claris,10 mg/ml solution for  injection
Lidocaine  Claris,20 mg/ml solution for  injection
Lidocain-EGIS,"4,6 mg/dose cutaneous  spray, solution"
Lidocaine-Tchaikapharma,5 mg/ml solution for injection
Lifsar  PulmoJet,"50 micrograms/500  micrograms per metered dose, inahalation powder"
Lifurox,500 mg film - coated  tablets
Lifurox,250 mg film - coated  tablets
Lifurox,"1,5 g powder for  solution for injection/infusion"
Lifurox,750 g powder for  solution for injection/infusion
Limeral,1 mg tablets
Limeral,2 mg tablets
Limeral,3 mg tablets
Limeral,4 mg tablets
Lincomycin,sol. inj. 600 mg/2 ml -  2 ml x 5
Lincomycin,caps. 250 mg x 20
Lincomycin  Actavis,sol. inj. 600 mg/2 ml -  2 ml x 5
Lincomycin  Actavis,caps. hard x 20
Lincomycin  Actavis,500 mg hard capsules
Lincomycin Actavis,300 mg/ml solution for  injection
Linczolid  KRKA,600 mg film - coated tablets
Lindron,tabl. 10 mg x 14; x 28
Lindynette 20,75 micrograms/20  micrograms coated tablets
Lindynette  30,75 micrograms/30  micrograms coated tablets
Linefor,"150 mg capsules, hard"
Linefor,"50 mg capsules, hard"
Linefor,"75 mg capsules, hard"
Linestad,2 mg/ml solution for  infusion
Linezolid - Tchaikapharma,2 mg/ml solution for  infusion
Linezolid  Actavis,2 mg/ml solution for infusion
Linezolid  Kabi,2 mg /ml solution for  infusion
Linezolid  Kabi,2 mg /ml solution for  infusion
Linezolid  Krka,2 mg/ml solution for  infusion
Linezolid  KRKA,600 mg film - coated  tablets
Linezolid  Polpharma,600 mg film - coated  tablets
Linezolid  Polpharma,2 mg/ml solution for  infusion
Linezolid  Sandoz,2 mg/ml solution for  infusion
Lingabat,25 mg hard capsules
Lingabat,75 mg hard capsules
Lingabat,150 mg hard capsules
Lini  Semen,herbal drug - 50 g
Lini  Semen,herbal drug - 50 g; 80  g; 100 g
Linipril,"2,5 mg tablets"
Linipril,20 mg tablets
Linipril,5 mg tablets
Linipril,10 mg tablets
Linipril,10 mg tablets
Linola  Fett,"0,815 g/100 g cream"
Linola Fett,badh additive
Linola  Urea,cream 12% - 50g; 75 g
Linoladiol  N,100 micrograms/g ceram
Lioton  1000 Gel,1000 IU/g
Lipanor,"100 mg capsules, hard"
Lipanthyl  200 M,"200 mg capsules, hard"
Lipanthyl  267 M,"267 mg capsules, hard"
Lipanthyl  Supra,160 mg film - coated  tablets
Lipertance,10 mg/5 mg/5 mg film -  coated tablets
Lipertance,20 mg/5 mg/5 mg film -  coated tablets
Lipertance,20 mg/10 mg/5 mg film -  coated tablets
Lipertance,20 mg/10 mg/10mg film -  coated tablets
Lipertance,40 mg/10 mg10 mg film -  coated tablets
Lipobon,10 mg tablets
Lipocante,1 mg film-coated tablets
Lipocante,2 mg film-coated tablets
Lipocante,4 mg film-coated tablets
Lipofundin  MCT/LCT 10%,emulsion for infusion
Lipofundin  MCT/LCT 20%,emul. inf. 20% - 100 ml  x 10; 250 ml x 10; 500 ml x 10
Lipopres,40 mg tablets
Lipopres,20 mg tablets
Lipovenoes  10% PLR,2.5mg; 5 mg; 10mg; 20mg  tablets
Lisigamma,emul. inf. - 100 ml; 250  ml; 500 ml
Lisigamma,10 mg tablets
Lisigamma,20 mg tablets
Lisigamma,5 mg tablets
Lisinopril  Sopharma,5 mg tablets
Lisinopril  Sopharma,10 mg tablets
Lisinopril  Sopharma,20 mg tablets
Lisinopril  Stada 10,tabl. 10 mg x 30; x 50;  x 100
Lisinopril  Tchaikapharma,tabl. 10 mg x 30
Lisinopril  Tchaikapharma,tabl. 20 mg x 30
Lisinopril  Unipharm,10  mg tablets
Lisinopril  Unipharm,5  mg tablets
Lisinopril  Unipharm,20  mg tablets
Lispecip,30 mg  tablets
Lispecip,15 mg  tablets „
Lispecip,45 mg  tablets
Lisvy,60 micrograms/24 hours +  13 micrograms/24 hours transdermal patch
"Lithium  Chloride 0,15 mmol/ml","sol. inj. 0,15 mmol/ml -  10 ml x 5"
Livial,"2,5 mg tablets"
Lizopril,tabl. 20 mg x 28
Lizopril,tabl. 10 mg x 28
Lizopril,tabl. 5 mg x 28
"Locacid  0,05% cream","cream 0,05% - 30 g"
Locatop,"0,1% cream"
Locoid  Crelo,"0,1% cutaneous emulsion"
Locoid Lipocream,"0,1  % cream"
"Locoid  Lipocream Cream 0,1%",cream 1 mg/g - 15 g; 30  g
Lodiric,100  mg tablets
Lodiric,300  mg tablets
Lodotra,1 mg modified - release  tablets
Lodotra,2 mg modified - release  tablets
Lodotra,5 mg modified - release  tablets
